"","J_YN2","","",""
"t1PV","yes","157.7","5400","3600"
"","no","158.4","292.5","134.1"
"","no","158.4","292.4","134"
"","no","158.4","292.4","134"
"","no","158.4","292.4","134"
"","no","159.1","261.7","102.6"
"","no","159.1","261.7","102.6"
