"","J_YN2","","",""
"t1PV","yes","330.3","5400","3600"
"","no","333.1","566","232.9"
"","no","333.1","557.2","224.1"
"","no","333.1","557.2","224.1"
"","no","333.1","557.2","224.1"
"","no","335.7","510.5","174.8"
"","no","335.7","506.9","171.2"
