"","J_YN2","","",""
"t1PV","yes","190.9","5400","3600"
"","no","191.7","405","213.3"
"","no","191.7","399.9","208.2"
"","no","191.7","399.9","208.2"
"","no","191.7","399.9","208.2"
"","no","192.3","351.7","159.4"
"","no","192.3","350.4","158.1"
