"","J_YN2","","",""
"t1PV","yes","121","5400","3600"
"","no","121.1","361.4","240.3"
"","no","121.1","358.7","237.6"
"","no","121.1","358.7","237.6"
"","no","121.1","358.7","237.6"
"","no","121.1","314.4","193.3"
"","no","121.1","313.9","192.8"
