"","time","Minute ventilation (l/min)","Arterial O2 partial pressure (mm Hg)","Total blood flow (l/min)","Arterial CO2 partial pressure (mm Hg)","Brain O2 partial pressure (mm Hg)","Antagonist plasma concentration (ng/ml)","Blood flow to brain (l/min)"
"1",0,6.76436765477461,92.7950184988885,4.9313299527367,38.5868300655299,31.6090098251018,0,0.680418929037924
"2",0.1,6.76434773101554,92.7950184527239,4.9313299527419,38.5868301394928,31.6090099324895,0,0.680418929043125
"3",0.2,6.76425966823428,92.7950179956253,4.93132995282822,38.5868308646626,31.6090109602266,0,0.680418929128498
"4",0.3,6.76407756201721,92.7950164622775,4.93132995327847,38.5868332759459,31.6090142883266,0,0.680418929573585
"5",0.4,6.76378303325715,92.7950130044931,4.93132995466465,38.5868386666132,31.6090215328715,0,0.680418930943676
"6",0.5,6.76336119756733,92.795006629827,4.93132995790123,38.5868485208473,31.6090344312738,0,0.680418934142418
"7",0.6,6.76279936464204,92.7949962228186,4.93132996428591,38.5868644761054,31.609054780459,0,0.68041894045198
"8",0.7,6.76208640690382,92.7949805594153,4.93132997553242,38.5868882975714,31.6090843980896,0,0.680418951565452
"9",0.8,6.76121239595389,92.7949583178454,4.93132999379784,38.586921859083,31.6091250967187,0,0.680418969613664
"10",0.9,6.7601683704386,92.7949280873459,4.93133002170566,38.5869671280378,31.6091786660159,0,0.680418997187929
"11",1,6.75894617769361,92.7948883755366,4.93133006236498,38.5870261529353,31.6092468605952,0,0.680419037358893
"12",1.1,6.75753835986527,92.7948376147771,4.93133011938717,38.5871010528325,31.609331391623,0,0.680419093692918
"13",1.2,6.75593806888314,92.7947741678177,4.93133019689985,38.587194008197,31.6094339212098,0,0.680419170265788
"14",1.3,6.75413900100873,92.7946963329147,4.93133029955865,38.5873072528303,31.6095560589042,0,0.680419271674228
"15",1.4,6.75213534518144,92.7946023485207,4.93133043255706,38.5874430666563,31.6096993599601,0,0.680419403045574
"16",1.5,6.74992174133452,92.7944903975626,4.93133060163461,38.5876037691919,31.6098653237549,0,0.680419570045703
"17",1.6,6.7474932462001,92.7943586115222,4.9313308130833,38.587791713604,31.6100553944813,0,0.680419778885356
"18",1.7,6.74484530477572,92.7942050742114,4.93133107375272,38.5880092812381,31.6102709615736,0,0.680420036325074
"19",1.8,6.74197372618655,92.7940278253558,4.9313313910538,38.5882588765616,31.6105133608552,0,0.680420349678824
"20",1.9,6.73887466300373,92.793824863991,4.93133177296133,38.5885429224614,31.6107838760253,0,0.680420726816406
"21",2,6.73554459332524,92.7935941516978,4.93133222801536,38.5888638558532,31.6110837403909,0,0.680421176164754
"22",2.1,6.73198030508022,92.7933336156939,4.93133276532152,38.5892241235658,31.611414138774,0,0.680421706708183
"23",2.2,6.72817888214908,92.7930411517935,4.93133339455041,38.5896261784697,31.6117762095275,0,0.68042232798767
"24",2.3,6.72413769197469,92.792714627248,4.93133412593598,38.5900724758288,31.6121710466161,0,0.680423050099228
"25",2.4,6.71985437441372,92.7923518834794,4.93133497027311,38.5905654698503,31.6125997017192,0,0.680423883691418
"26",2.5,6.71532683161999,92.7919507387092,4.93133593891434,38.5911076104201,31.6130631863327,0,0.680424839962064
"27",2.6,6.71055321879878,92.7915089904992,4.9313370437659,38.5917013400043,31.6135624738433,0,0.680425930654216
"28",2.7,6.7055319356955,92.7910244181983,4.93133829728287,38.592349090709,31.6140985015598,0,0.680427168051395
"29",2.8,6.70026161870919,92.7904947853118,4.93133971246387,38.593053281483,31.6146721726882,0,0.680428564972175
"30",2.9,6.69474113354039,92.7899178417904,4.93134130284491,38.5938163154582,31.6152843582412,0,0.680430134764132
"31",3,6.68896956829606,92.7892913262466,4.93134308249275,38.5946405774143,31.6159358988759,0,0.680431891297189
"32",3.1,6.68294622698711,92.7886129680983,4.93134506599779,38.5955284313624,31.616627606643,0,0.680433848956529
"33",3.2,6.67667062337073,92.7878804896516,4.93134726846575,38.5964822182686,31.6173602667036,0,0.680436022634378
"34",3.3,6.67014247508533,92.7870916081125,4.93134970551019,38.5975042538214,31.6181346388744,0,0.680438427722462
"35",3.4,6.66336169803895,92.786244037533,4.93135239324317,38.5985968263797,31.6189514591698,0,0.680441080102849
