"","time","Minute ventilation (l/min)","Arterial O2 partial pressure (mm Hg)","Total blood flow (l/min)","Arterial CO2 partial pressure (mm Hg)","Brain O2 partial pressure (mm Hg)","Antagonist plasma concentration (ng/ml)","Blood flow to brain (l/min)"
"1",0,6.76436765477461,92.7950184988885,4.9313299527367,38.5868300655299,31.6090098251018,0,0.680418929037924
"2",0.1,6.76436569989651,92.7950184944328,4.93132995273817,38.5868300728063,31.6090098356682,0,0.680418929039438
"3",0.2,6.76435705785194,92.7950184496538,4.93132995274761,38.5868301439828,31.6090099365447,0,0.680418929048818
"4",0.3,6.76433918097494,92.795018299239,4.93132995279276,38.5868303806541,31.6090102632044,0,0.680418929093499
"5",0.4,6.76431025430976,92.7950179598592,4.93132995292978,38.5868309098788,31.6090109744281,0,0.68041892922898
"6",0.5,6.76426879951164,92.7950173339148,4.93132995324849,38.586831877624,31.6090122411174,0,0.680418929544009
"7",0.6,6.76421354690225,92.7950163115554,4.93132995387643,38.5868334451651,31.6090142403172,0,0.680418930164603
"8",0.7,6.76414337293039,92.7950147720407,4.93132995498213,38.5868357866595,31.6090171514881,0,0.680418931257272
"9",0.8,6.76405726432218,92.7950125847426,4.93132995677795,38.5868390873592,31.6090211540301,0,0.680418933031784
"10",0.9,6.76395429501374,92.79500960994,4.93132995952237,38.586843542221,31.6090264256163,0,0.680418935743456
"11",1,6.76383361036535,92.79500569947,4.93132996352211,38.5868493547741,31.6090331410468,0,0.680418939695201
"12",1.1,6.76369441582204,92.7950006972831,4.93132996913385,38.5868567361796,31.609041471485,0,0.680418945239256
"13",1.2,6.76353596841945,92.7949944399258,4.93132997676579,38.5868659044252,31.6090515839574,0,0.680418952778717
"14",1.3,6.76335757023351,92.7949867569687,4.93132998687908,38.5868770836265,31.609063641051,0,0.680418962768878
"15",1.4,6.76315856320785,92.7949774713904,4.93132999998893,38.5868905034123,31.6090778007574,0,0.680418975718395
"16",1.5,6.76293832498434,92.7949663999268,4.9313300166657,38.5869063983776,31.6090942164239,0,0.680418992190313
"17",1.6,6.76269626548485,92.7949533533925,4.93133003753581,38.5869250075922,31.609113036786,0,0.680419012802954
"18",1.7,6.7624318240646,92.7949381369723,4.93133006328248,38.5869465741572,31.6091344060592,0,0.680419038230686
"19",1.8,6.76214446712038,92.7949205505014,4.9313300946465,38.5869713447976,31.6091584640749,0,0.680419069204587
"20",1.9,6.76183368604637,92.794900388717,4.93133013242672,38.586999569492,31.6091853464459,0,0.680419106513011
"21",2,6.76149899547865,92.7948774415025,4.93133017748059,38.5870315011297,31.6092151847556,0,0.680419151002062
"22",2.1,6.76113993177125,92.7948514941117,4.93133023072456,38.5870673951939,31.60924810676,0,0.680419203575984
"23",2.2,6.76075605166321,92.7948223273856,4.93133029313439,38.5871075094668,31.6092842365987,0,0.680419265197477
"24",2.3,6.76034693110442,92.7947897179536,4.9313303657454,38.5871521037554,31.6093236950103,0,0.680419336887937
"25",2.4,6.75991216421381,92.7947534384279,4.9313304496527,38.5872014396341,31.6093665995476,0,0.680419419727637
"26",2.5,6.75945136235089,92.7947132575866,4.93133054601126,38.5872557802046,31.6094130647909,0,0.680419514855852
"27",2.6,6.7589641532858,92.7946689405527,4.93133065603598,38.587315389868,31.6094632025617,0,0.680419623470861
"28",2.7,6.75845018044198,92.7946202489555,4.93133078100179,38.5873805341141,31.6095171221191,0,0.680419746830061
"29",2.8,6.75790910222292,92.7945669410994,4.93133092224347,38.5874514793174,31.6095749303629,0,0.680419886249809
"30",2.9,6.75734059139199,92.7945087721142,4.93133108115565,38.5875284925475,31.6096367320245,0,0.68042004310538
"31",3,6.75674433450687,92.7944454941056,4.93133125919268,38.5876118413892,31.6097026298462,0,0.680420218830819
"32",3.1,6.75612003140311,92.7943768562983,4.93133145786839,38.5877017937708,31.6097727247567,0,0.680420414918758
"33",3.2,6.75546739471751,92.7943026051732,4.93133167875592,38.5877986178016,31.6098471160362,0,0.680420632920192
"34",3.3,6.75478614944866,92.7942224846026,4.93133192348746,38.5879025816177,31.6099259014739,0,0.680420874444223
"35",3.4,6.75407603254997,92.7941362359774,4.93133219375394,38.5880139532347,31.6100091775163,0,0.68042114115776
"36",3.5,6.75333679255155,92.7940435983329,4.93133249130471,38.5881330004075,31.6100970394082,0,0.680421434785193
"37",3.6,6.75256818920803,92.7939443084695,4.93133281794719,38.5882599904963,31.6101895813252,0,0.680421757108029
"38",3.7,6.75176999316869,92.7938381010685,4.93133317554646,38.5883951903398,31.6102868964968,0,0.680422109964518
"39",3.8,6.75094198567138,92.793724708809,4.93133356602483,38.5885388661327,31.6103890773266,0,0.680422495249169
"40",3.9,6.75008395824944,92.7936038624716,4.93133399136152,38.5886912833083,31.6104962154965,0,0.680422914912465
"41",4,6.7491957124621,92.7934752910503,4.93133445359209,38.5888527064269,31.6106084020741,0,0.680423370960306
"42",4.1,6.74827705964166,92.7933387218682,4.93133495480751,38.5890233990788,31.610725727612,0,0.680423865453065
"43",4.2,6.74732782064076,92.7931938806531,4.93133549715456,38.5892036237651,31.6108482822254,0,0.68042440050595
"44",4.3,6.7463478256089,92.7930404916541,4.93133608283464,38.5893936418113,31.6109761556842,0,0.680424978287886
"45",4.4,6.74533691377289,92.7928782777346,4.93133671410333,38.5895937132721,31.6111094374888,0,0.680425601021045
"46",4.5,6.74429493322907,92.7927069604652,4.93133739326985,38.5898040968406,31.6112482169422,0,0.680426270980288
"47",4.6,6.74322174074512,92.7925262602153,4.93133812269641,38.5900250497634,31.6113925832166,0,0.680426990492571
"48",4.7,6.74211720157081,92.7923358962423,4.93133890479766,38.5902568277581,31.6115426254137,0,0.680427761936325
"49",4.8,6.74098118925853,92.7921355867788,4.93133974203996,38.5904996849335,31.611698432624,0,0.680428587740817
"50",4.9,6.73981358548935,92.7919250491185,4.93134063694081,38.5907538737151,31.6118600939781,0,0.680429470385509
"51",5,6.73861427990724,92.7917039996977,4.93134159206814,38.5910196447718,31.6120276986946,0,0.680430412399391
"52",5.1,6.73738316996003,92.7914721541777,4.93134261003962,38.591297246947,31.6122013361254,0,0.680431416360302
"53",5.2,6.73612016074592,92.7912292275242,4.93134369352198,38.5915869271913,31.6123810957963,0,0.680432484894241
"54",5.3,6.7348251648658,92.7909749340851,4.93134484523033,38.591888930499,31.6125670674432,0,0.680433620674662
"55",5.4,6.73349810228083,92.7907089876663,4.93134606792736,38.5922034998469,31.6127593410467,0,0.680434826421758
"56",5.5,6.73213890017491,92.790431101606,4.9313473644227,38.5925308761353,31.6129580068621,0,0.68043610490174
"57",5.6,6.73074749282162,92.7901409888481,4.93134873757209,38.5928712981319,31.6131631554477,0,0.680437458926094
"58",5.7,6.72932382145547,92.7898383620136,4.9313501902767,38.5932250024183,31.6133748776883,0,0.680438891350839
