"","J_YN2","","",""
"t1PV","yes","159.4","5400","3600"
"","no","159.7","368.9","209.2"
"","no","159.7","366.6","206.9"
"","no","159.7","366.6","206.9"
"","no","159.7","366.6","206.9"
"","no","159.9","327.3","167.4"
"","no","159.9","326.7","166.8"
