"","J_YN2","","",""
"t1PV","yes","118.6","5400","3600"
"","yes","118.6","5400","3600"
"","yes","118.6","5400","3600"
"","yes","118.6","5400","3600"
"","yes","118.6","5400","3600"
"","yes","118.6","5400","3600"
"","yes","118.6","5400","3600"
